,,Notes,Kate Shreeve,Roland White,Athena,Amelia Espada,Esther Martin,Mark Savage,Janet Walker,Alain Mormont,Jai Chandra,Sen,Gargoyle,Ryan Frost,Stranger,Andromeda McLear,Earl Deckard,George Mormoth,Simon Coil,Julia Takahashi,Daiyu Tang,Ezekiel Gray,Marika Prochazka,Karl Schraeder,Alec Shaheen,,Amelia Espada
,Mission_lmn_Volcanic_Vent_Erupt_Vek,,"""It's toast!"",
""A little lava did the trick."",","""Don't mess with the volcano."",
""Burn."",
""The island is angry. I would be, too."",","""Everything is so loud!"",
""This island needs safety railings!"",","""Haha... classic."",
""Scratch one Vek."",
""A little fire does wonders for these things."",","""Now there's a good example of what not to do."",
""If you stop minding your surrounds, you'll get yourself blown up."",","""That's practically a land mine, right there."",
""I can't recommend trying that, #squad."",","""That's probably about as much fun as it looks."",
""I wouldn't want to be in that vent right about now."",","""That was unexpected!"",
""Scorched it!"",
""Good thing they're not lava-proof."",","""Mess with our planet at your peril."",
""Should have picked a safer island to invade."",","""The fires of the earth are our allies."",
""The volcano's fury turns against these monsters."",","""Never gets old."",
""Vek never saw that coming."",","""Regular holiday paradise, this place."",
""Friendly little island, isn't it?"",
""These vents make short work of the Vek."",","""Push the Vek into the active vents!"",
""These volcanic vents make effective traps."",","""My sensors indicate that volcanic activity is increasing."",
""Detecting an overpressure event in the underground magma chamber!"",","""Very amusing."",
""A gout of fire seems a fitting end for these monsters."",
""At least these demons are vulnerable to fire."",","""These demons are not immune to hellfire, it seems."",
""The fires of the underworld are here to consume these demons."",","""A bit charred, but the corpse could still be useful."",
""I grow fond of this place."",","""This place makes Archive's minefields look like a playground."",
""Is there anything here that's not dangerous?"",","""Charred, roasted... this island has all my favorite kinds of Vek."",
""Don't test your Mech armor against those vents; I don't think it will go well."",","""I can sympathize."",
""Sometimes, you just explode."",","""I can feel the heat from over here!"",
""I don't think our Mechs would fare much better; be careful, #squad.""","""Those vents seem like a safety hazard... but that one did us a favor."",
""Don't try to emulate the Vek."",
""Fried Vek, made to order."",","""Time for a cookout!"",
""That Vek just took off in a blast of fire!"",
""Crispy. Just how I like my Vek."",",,"""Haha... classic."",
""Scratch one Vek."",
""A little fire does wonders for these things."","
,Mission_lmn_Wind_Push,,"""Got a major gust incoming!"",
""This wind is crazy!"",
""My Mech is getting pushed by the wind!"",","""This wind is no joke."",
""Is it always this windy here?"",","""I'm moving without moving!"",
""Our Mechs aren't optimized for these airspeeds; we're going to get pushed!"",","""Can't... hold... my position."",
""Was this in the forecast?"",","""#squad, keep an eye downwind!"",
""Everyone, brace!"",
""I've never seen wind shear this strong."",","""Activating stabilizers!"",
""I'm trying not to bump into anything, but it's not easy.""","""These gusts just keep coming!"",
""#squad, watch your positioning! This wind isn't slacking off anytime soon!"",","""Doesn't look like this windstorm is going to get any better in the near future."",
""I'm trying my best to avoid bumping into things.""","""I wish I could calibrate my Grav Anchor to hold this Mech in place..."",
""Here comes the next gust."",
""This perpetual storm is making combat... very difficult."",","""The wind is here to play!"",
""Dance upon the wind! Be light on your feet!"",
""The four winds are never idle here."",
""The wind is playful today. Do not let it sweep you away!"",","""Can't hold my position."",
""We should be harnessing this wind to power the Grid."",","""Here we go again."",
""I was just fine where I was!"",","""I can't hold my position."",
""My #self_mech is getting pushed by this gust!"",","""Atmospheric phenomena are making it impossible to hold our positions."",
""If we're not careful, these winds will drive us into the buildings we're trying to protect!"",","""Brace yourselves."",
""These gusts are fearsome."",
""I trust the buildings here are built to withstand these winds."",","""This storm is greater than any I have seen."",
""Remain steadfast!"",","""These winds are ruining my instrument calibrations."",
""Use this windstorm to crush the Vek!"",","""It's hard to aim when my Mech keeps sliding around."",
""Take extra care around buildings until the storm subsides!"",","""Keep one eye downwind, and try not to run into each other."",
""Don't let those Vek get blown into the buildings!"",","""These winds are going to cause unintended casualties."",
""Spread out and don't run into each other, #squad."",","""I'm trying not to run into anyone..."",
""Wind's picking up again!"",","""This jungle soil doesn't have enough traction!"",
""Where's the hurricane?"",
""I've never seen sustained winds this high!"",","""These winds are absurd!"",
""How did Meridia ever construct buildings in these windstorms?"",",,"""Can't... hold... my position."",
""Was this in the forecast?"","
,Mission_lmn_Runway_Imminent,,"""Everyone hear that? The plane is starting its engine!"",
""That plane's prelaunch checks are complete; keep everyone clear of the runway!"",","""Get clear of that runway!"",
""These pilots don't like crashing on takeoff, so give them a clear runway!"",","""Be careful, they need a clear path to build up speed."",
""Everyone should move off of the runway."",
""Don't want to get crashed into by an airplane..."",","""Don't get caught on that runway while the plane's trying to take off."",
""Takeoff is imminent. Everyone stay sharp."",
""Protect that aircraft while it launches!"",","""Control tower just gave them the green light. Mind the runway."",
""Last chance to avoid being run over by a plane."",
""We're not in the clear til that plane lifts off. Stay on alert."",","""Let's not have anyone's Mech getting mulched on the runway today."",
""That plane is taking off, whether or not we're in its way. So don't be!"",
""Let's keep the runway clear for our friend!"",","""#squad, get clear of the airstrip."",
""Don't let any Vek get in the way of that plane."",","""Looks like they're ready for liftoff!"",
""Sounds like they've started their engine."",
""Clearing the airfield now."",","""Takeoff is about to commence."",
""The countdown just started. Don't be on that runway!"",","""It is awake! The plane will fly soon!"",
""It is awake, and ready to fly! Do not stand in the way!"",
""The plane is about to fly! Be careful not to stand too near!"",","""Takeoff imminent. Be alert."",
""Watch out for traffic on that runway."",","""That plane's about to hit the gas. Stay out of the way!"",
""I'll keep an eye on the runway from a nice, safe distance."",","""The aircraft is preparing to depart."",
""Detecting increased thermal and audio emissions. That aircraft is warming up its engine."",
""Give that aircraft some space; if it runs into something, no one will be happy."",","""Clear the runway, it's about to take off!"",
""Our Mechs won't handle a collision any better than those planes will. Stay clear!"",","""That flyer is preparing to launch. We must keep the path clear."",
""We must protect that plane while it launches."",","""My armor informs me that airship is preparing to take wing; stay clear of it!"",
""That airship requires a clear path; we must ensure it has one."",","""Move away from the runway... or what comes next may be unpleasant for everyone."",
""Apparently one of those planes has tired of our company, and is about to depart."",","""Unless you want to your Mechs turned into scrap, get clear of that airstrip!"",
""That plane can't wait any longer; it's taking off, no matter what."",","""I see a propeller turning. That rust bucket is getting ready for takeoff."",
""Clear the runway!"",","""About time that aircraft started its engine."",
""Don't stand around gawking, clear this runway."",
""#squad, keep clear of that runway, and keep the Vek off it."",","""They've started their engine... we're on the clock now!"",
""I believe we're strongly advised to vacate the runway."",","""That plane's about to launch. Clear a path for it."",
""Keep your Mechs away from the runway. They're not rated for direct collision with aircraft."",","""Finally! Stay clear when that plane launches."",
""The Vek may still try to interfere with takeoff. Keep them off the runway."",",,"""Don't get caught on that runway while the plane's trying to take off."",
""Takeoff is imminent. Everyone stay sharp."",
""Protect that aircraft while it launches!"","
,Mission_lmn_Runway_Crashed,,"""That plane crashed on takeoff!"",
""Oh no!"",
""It didn't make it off the runway!"",","""They're supposed to go up, not down."",
""Damn, what a mess."",","""I don't think that's how the airplane is supposed to look."",
""The airplane broke!"",","""One of the planes has been lost."",
""We've lost an aircraft. Remember, killing the Vek isn't our only priority here."",","""We're not made of airplanes! We can't let them keep getting destroyed."",
""That pilot is not having a good day."",
""Anyone see the pilot eject?"",","""Stay focused, #squad. We're not off the hook."",
""Let Lacroix know there's some debris on the runway..."",
""Brave soul."",","""Plane took a hit."",
""That's probably not good."",
""Switch your focus to the Vek. Keep them busy!"",","""We don't have a lot of aeroplanes left..."",
""We failed to protect one of the aeroplanes."",","""That plane wasn't airborne very long..."",
""Guess it's not going anywhere, now."",","""The little bird is no more! I was looking forward to seeing it fly..."",
""We must protect the other plane, until it awakes!"",","""That one's not getting airborne."",
""No more airplane."",","""Lost our aircraft."",
""That plane's not going anywhere."",","""One of the aircraft has been destroyed."",
""Our little flying friend has crashed into something."",
""I do not think the pilot could have survived that crash."",","""We've lost one of the planes!"",
""That plane had an urgent mission... now it's never going to be completed."",","""Those aircraft are too valuable to lose."",
""Not a fate I would choose."",
""I fear the pilot did not survive..."",","""Our airship has been destroyed!"",
""We have failed in our charge to protect the airship."",","""One of the planes has been lost."",
""Everyone dies eventually; some sooner."",","""Foul runway! We lost one of the planes!"",
""So much for that one..."",
""Odds of surviving a ground ejection are pretty low..."",","""We've lost a plane. The Vek need to lose a few limbs as payback."",
""We're a little overextended down here; couldn't save the plane."",","""That aircraft isn't going anywhere."",
""Aircraft destroyed."",
""I never tire of explosions... but we can't lose the more planes."",","""That plane is... not going to complete whatever mission it had."",
""I don't think that plane is airworthy anymore."",","""We need those planes in the air! Can't keep letting them get destroyed."",
""I hope Meridia has a backup airplane stashed somewhere."",","""That plane isn't going anywhere."",
""We're running out of planes!"",",,"""One of the planes has been lost."",
""We've lost an aircraft. Remember, killing the Vek isn't our only priority here."","
,Mission_lmn_Runway_Takeoff,,"""Phew, it's out of reach of the Vek now..."",
""It's up and away!"",
""Successful takeoff!"",","""That little guy is away!"",
""Lift off!"",
""Looks like it's away, but our job's not done..."",","""Bye, airplane."",
""There it goes..."",
""Now that's over, let's get back to smashing monsters."",","""Aircraft is away. But let's not celebrate yet..."",
""A little air support could be handy in future missions."",","""Not bad. That bird should help our future missions."",
""Never a bad thing to have more eyes in the sky."",
""Never hurts to have an aviator owing you a favor."",
""Flight plan confirmed; it's safely on its way."",","""Enjoy the moment, #squad. But don't get distracted from completing the mission."",
""Our bird is safely on its way."",","""Up, up, and away..."",
""Off to a better place, I hope."",","""Fantastic!"",
""We did it! Aeroplane is safely away."",","""A successful launch."",
""Sensors show a clear trajectory, no hostiles following."",
""Off you go."",","""What a grand sight!"",
""Ride the winds!"",
""I hope it has a pleasant journey! Now, let us destroy these remaining monsters."",","""Plane is away."",
""Back to focusing on the Vek."",","""Not bad."",
""Hopefully that plane does something useful."",
""Maybe that pilot will return the favor some day."",","""One less thing to worry about."",
""Now we can focus more on the Vek."",
""This will make a good story."",
""The aircraft is away."",","""That plane is on its way; hopefully the rest of its mission goes as smoothly."",
""A stressful but otherwise excellent takeoff."",","""The plane is on its way."",
""Our bird is in the air."",","""An impressive sight!"",
""The machines of this age continue to impress me."",
""A graceful machine!"",","""The plane is away."",
""Fleeing the battle... a wise decision, perhaps."",","""We have liftoff."",
""Wherever that plane's going, they'll be happy to see it."",","""One plane safely away."",
""Guess that old sky-jumper was up to the task."",","""Impressive."",
""Aircraft is on its way."",
""One less target to babysit. Let's give the Vek our full attention."",","""Lift off!"",
""Magnificent!"",
""Safely on its way..."",
""We've got you on our sensors, Little Bird. Safe journey."",
""We'll keep an eye on you until you make it out of the local airspace, Little Bird."",","""Flightpath looks good. Successful takeoff."",
""Plane is safely away. Let's get back to dealing with the Vek."",","""Liftoff. At least we've got some good new today."",
""The plane is on its way."",",,"""Aircraft is away. But let's not celebrate yet..."",
""A little air support could be handy in future missions."","
,Mission_lmn_Greenhouse_Destroyed,,"""This area's going to run out of food without that greenhouse!"",
""We just lost the greenhouse!"",","""Can't win 'em all. Just focus on the Vek."",
""That thing was full of food and biofuel. The Vek sure know how to hit us where it hurts."",","""The greenhouse broke!"",
""Uh oh, that wasn't good."",
""The plants!"",","""The greenhouse crew are no longer reporting...we've lost them."",
""We lost the greenhouse. Keep the rest of the area safe!"",","""Greenhouse is done for."",
""Greenhouse is done for. Better start rationing veggies."",
""Focus on clearing the Vek. We can search the rubble for survivors later."",","""The greenhouse just went up in flames."",
""The...greenhouse is a complete loss. Send any available responders."",
""Take out the Vek so #corp can check the rubble for survivors!"",","""We lost the greenhouse."",
""The entire crop inside that greenhouse just went up in flames!"",","""We failed to guard the greenhouse."",
""Guard the buildings! We can't afford to lose them!"",","""The greenhouse has been lost."",
""I couldn't save the greenhouse."",","""The greenhouse is no more."",
""I am sad for those people. They did not deserve such a death."",","""No more greenhouse."",
""Meridia isn't going to be happy."",
""So much for the plants."",","""Lost the greenhouse."",
""Some kid is cheering at the loss of those vegetables."",","""The greenhouse did not survive."",
""We need a hardier greenhouse, next time."",
""We've lost the greenhouse and the staff on site."",
""Looks like these people will soon be going hungry.""","""The greenhouse was just destroyed!"",
""We just lost the greenhouse!"",","""The greenhouse is no more."",
""'Tis a bad hand we've been dealt."",
""Not a fate I would choose..."",","""We have failed in our duty."",
""We could not save the structure, or its occupants."",
""The demons have destroyed one of these indoor gardens."",","""The greenhouse has been destroyed."",
""Unfortunate."",","""Greenhouse destroyed, commander."",
""We're losing our food stores!"",","""The greenhouse is gone."",
""If Meridia has a backup greenhouse, they better start planting in it."",","""The greenhouse has been destroyed."",
""Blast."",
""That greenhouse is just rubble now.""","""There's nothing left of the greenhouse."",
""Sorry, boss, but we couldn't save the greenhouse."",","""I'm not reading any signs of life in that rubble..."",
""#corp is going to have a hard time replacing that greenhouse."",","""That greenhouse is nothing but ash now."",
""Without that greenhouse, this region is going to have to start rationing food."",",,"""The greenhouse crew are no longer reporting...we've lost them."",
""We lost the greenhouse. Keep the rest of the area safe!"","
,Mission_lmn_Geothermal_Plant_Destroyed,,"""Not a good thing for the Grid..."",
""We just lost the geothermal plant!"",","""Did the lights just get dimmer?"",
""Can't win 'em all. Just focus on the Vek."",","""Less power is bad."",
""The power plant broke!"",
""Uh oh, that wasn't good."",","""The geothermal plant crew are no longer reporting...we've lost them."",
""The Grid's taken a hit!"",
""We lost the regional plant. Keep the rest of the area safe!"",","""Geothermal plant is done for."",
""Geothermal plant is done for. Better start turning lights off."",
""Focus on clearing the Vek. We can search the rubble for survivors later."",","""The geothermal plant just went up in flames."",
""The...geothermal plant is a complete loss. Send any available responders."",
""Take out the Vek so #corp can check the rubble for survivors!"",","""We lost the geothermal plant."",
""We're losing Grid power!"",
""Accessing plant manifest. I'll... notify their families when we get back."",","""We failed to guard the geothermal plant."",
""I can almost feel my Mech losing power."",
""Guard the buildings and protect the Grid!"",","""The geothermal plant has been lost."",
""I couldn't save the geothermal station."",","""The earthfire plant is no more."",
""I am sad for those people. They did not deserve such a death."",","""No more geothermal plant."",
""Meridia isn't going to be happy."",
""We can't keep losing power sources."",","""Lost the geothermal plant."",
""The geothermal plant's gone cold."",","""The geothermal plant did not survive."",
""We need a hardier plant, next time."",
""We've lost the geothermal plant and its crew. The Grid is weakening..."",","""The geothermal facility was just destroyed!"",
""We just lost the geothermal plant!"",","""The geothermal plant is no more."",
""'Tis a bad hand we've been dealt."",
""Not a fate I would choose..."",","""We have failed in our duty."",
""We could not save the structure, or its occupants.""","""The geothermal plant has been destroyed."",
""Unfortunate."",
""I cannot complete my research if the Grid runs out of power."",","""Geothermal plant destroyed, commander."",
""The Grid just took a hit!"",","""The power plant is gone."",
""If there are any backup geothermal plants in this jungle, better start bringing them online; this one's toast."",","""The geothermal plant has been destroyed."",
""Blast."",
""Given the importance of the Grid, we need some less fragile power sources..."",","""There's nothing left of the geothermal plant."",
""Sorry, boss, but we couldn't save the geothermal plant."",","""I'm not reading any signs of life in that rubble..."",
""#corp is going to have a hard time replacing that geothermal station."",","""That plant is nothing but rubble now."",
""Without that plant, this region is going to have to start rationing Grid power."",",,"""The geothermal plant crew are no longer reporting...we've lost them."",
""The Grid's taken a hit!"",
""We lost the regional plant. Keep the rest of the area safe!"","
,Mission_lmn_Hotel_Destroyed,,"""We just lost the hotel!"",
""I hope there weren't any guests in that hotel."",","""Can't win 'em all. Just focus on the Vek."",
""If you ask me, this wasn't a great place for tourists..."",","""The hotel broke!"",
""Uh oh, that wasn't good."",
""I hope the people got out!"",","""The hotel staff are no longer reporting...we've lost them."",
""We lost the hotel. Keep the rest of the area safe!"",","""Hotel is done for."",
""Focus on clearing the Vek. We can search the rubble for survivors later."",","""The hotel just went up in flames."",
""The...hotel is a complete loss. Send any available responders."",
""Take out the Vek so #corp can check the rubble for survivors!"",","""We lost the hotel."",
""I'm not seeing any survivors coming out of the ruins..."",","""We failed to guard the people in that hotel."",
""Guard the buildings! We can't afford to lose them!"",","""The hotel has been lost."",
""Couldn't save the hotel."",","""The hotel is no more."",
""I am sad for those people. They did not deserve such a death."",","""No more hotel."",
""Those tourists aren't going to have a good trip..."",","""Lost the hotel."",
""That... probably ruined some vacations."",","""The hotel did not survive."",
""We've lost the hotel... and its occupants."",","""The hotel was just destroyed!"",
""We just lost the hotel! We should have evacuated it hours ago..."",","""The hotel is no more. I cannot detect any survivors..."",
""'Tis a bad hand we've been dealt."",
""Not a fate I would choose..."",
""Fate can be cruel indeed."",","""We have failed in our duty."",
""We could not save the structure, or its occupants.""","""Unfortunate."",","""Hotel destroyed, commander."",
""Those folks picked the wrong time and place to on holiday... Rest in peace."",","""The hotel's gone."",
""That's going to put a dent in tourism."",","""The hotel has been destroyed."",
""Blast."",
""That hotel is just rubble now.""","""There's nothing left of the hotel."",
""Sorry, boss, but we couldn't save the hotel."",
""I... I was hoping after the war that I could do a show at that hotel."",","""I'm not reading any signs of life in that rubble..."",
""#corp is going to have a hard time attracting tourists if their hotels get destroyed."",","""We couldn't save them... The hotel and its occupants are gone."",
""We should have evacuated that hotel weeks ago. There's nothing we can do now."",",,"""The hotel staff are no longer reporting...we've lost them."",
""We lost the hotel. Keep the rest of the area safe!"","
,Mission_lmn_Agroforest_Destroyed,,"""This area's going to run out of food without that agroforest!"",
""We just lost the agroforest!"",","""Can't win 'em all. Just focus on the Vek."",","""The agroforest burned down!"",
""Uh oh, that wasn't good."",
""The forest animals! They're not okay!"",","""The agroforest workers are no longer reporting...we've lost them."",
""We lost the agroforest. Keep the rest of the area safe!"",","""Agroforest is done for."",
""Agroforest is done for. Better start rationing."",
""Focus on clearing the Vek. We can search the rubble for survivors later."",","""The agroforest just went up in flames."",
""The...agroforest is a complete loss. Send any available responders."",
""Take out the Vek so #corp can check the rubble for survivors!"",","""We lost the agroforest."",
""The entire crop inside that agroforest just went up in flames!"",","""We failed to guard the agroforest."",
""Guard the buildings! We can't afford to lose them!"",","""The agroforest has been lost."",
""I couldn't save the agroforest."",","""The forest is no more."",
""I am sad for those people. They did not deserve such a death."",
""The trees... they are burning."",
""The creatures in that forest... nothing survived."",","""No more forest."",
""Meridia isn't going to be happy."",","""Lost the agroforest."",
""Some kid is cheering at the loss of those vegetables."",","""The forest did not survive."",
""We've lost the agroforest and the staff on site."",
""Watching the forests burn... it... brings back strange memories."",","""The agroforest was just destroyed!"",
""We just lost the agroforest!"",","""That forest is no more."",
""'Tis a bad hand we've been dealt."",
""Not a fate I would choose..."",
""The trees and their caretakers have been lost."",","""We have failed in our duty."",
""We could not save the structure, or its occupants."",
""The demons have destroyed one of these forest gardens."",","""The agroforest has been destroyed."",
""Unfortunate."",","""Agroforest destroyed, commander."",
""We're losing our food stores!"",","""The forest is gone."",
""Nothing left of this agroforest. Whatever Meridia was using it for...,","""The agroforest has been destroyed."",
""Blast."",
""That agroforest is just rubble now.""","""There's nothing left of the agroforest."",
""Sorry, boss, but we couldn't save the agroforest."",","""I'm not reading any signs of life in that rubble... human or animal."",
""#corp is going to have a hard time replacing that agroforest."",","""That forest is nothing but ash now."",
""We couldn't save the agroforest."",",,"""The agroforest workers are no longer reporting...we've lost them."",
""We lost the agroforest. Keep the rest of the area safe!"","
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pilot_Skill_Low_1,,,,,,,,,,,"""It is raining! Dance with me!"",
""This rain is bitter..."",
""I wish I could splash in these puddles..."",",,,,,,,,,,,,,,,
,Pilot_Skill_Low_2,,,,,,,,,,,"""I see fire in the clouds."",
""Summer's wrath is upon us."",
""The sun will crack and burn the land."",",,,,,,,,,,,,,,,
,Pilot_Skill_Low_3,,,,,,,,,,,"""The winds of autumn stir the clouds..."",
""Dust and clouds to cover the land and shield it from our enemies."",
""A storm to cover the land...""",,,,,,,,,,,,,,,
,Pilot_Skill_Low_4,,,,,,,,,,,"""This is the silence of an indrawn breath. Just wait."",
""There is frost on the petals..."",
""I have missed the sight of snow."",",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mission_tosx_Juggernaut_Destroyed,,"""The Juggernaut's gone silent!"",
""#squad, we've lost the Juggernaut!"",","""The Juggernaut unit is offline!"",
""Damn, we lost our best weapon."",","""The ball robot broke!"",
""No more rolling around and crashing into things. That's sad."",","""Robot's offline!"",
 ""We couldn't save it, but we can still avenge it."",","""There's no backup except us. Let's do this, #squad."",
""Guess we finish the job ourselves."",","""The Juggernaut just went down."",
""That's not going to make our job any easier..."",","""We lost the Juggernaut."",
""So long, robot. You won't be forgotten."",","""We failed in our duty."",
""Our ally has fallen."",","""No way that unit is still operational at this point."",
""We lost the Juggernaut. Switch to secondary objectives."",","""That round machine is no more."",
""Such a pretty thing, smashed to pieces."",","""No more Juggernaut."",
""Zenith isn't going to be happy we lost her last Juggernaut."",","""Juggernaut didn't make it."",
""Woulda thought that thing was more durable."",","""The Juggernaut did not survive."",
""We have witnessed the end of an age; the last Juggernaut is gone."",","""The Juggernaut unit was just destroyed!"",
""We just lost the Juggernaut!"",","""That behemoth is no more."",
""Not a fate I would choose."", ","""We have failed in our duty."",
""We could not save the machine.""","""Unfortunate."",
""The machine is lost. We will have more success focusing on the Vek."",","""We lost our Juggernaut; focus on the Vek."",
""Don't stop to cry about it; we still have a mission."",","""The Juggernaut unit's gone."",
""There's no more help coming, #squad."",","""The Juggernaut is done for."",
""There's nothing left to save. Time to take out the Vek."",","""There's nothing left of the Juggernaut unit."",
""Sorry, #ceo_second, but we couldn't save your friend."",","""The Juggernaut... it's nothing but wreckage now."",
""We've just witnessed a species going extinct..."",","""That Juggernaut is down."",
""We lost the Juggernaut unit."",",,"""Robot's offline!"",
 ""We couldn't save it, but we can still avenge it."","
,Mission_tosx_Juggernaut_Ram,,"""Wow... that's hard to compete with."",
""Um, let's stay out of its way."",","""Ouch. That had to hurt."",
""I like this thing's style."",","""I wish I could just crush everything in my way."",
""Can I try that?"",","""Show-off."",
""#self_second here. Just wanted to report that I'm officially impressed."",","""Don't get careless, buddy."",
""Hope that Juggernaut has its eyes open."",","""Nobody get in that thing's way; I can't help you if you get hit."",
""That seems like overkill."",","""I hope that bowling ball knows where it's aiming."",
""Ouch."",","""Well, that area's clear."",
""Yeah!"",","""None of these robots are peaceful, are they."",
""Seems all these robots use violence to solve problems."",","""How useful you are!"",
""Such noise, and fury. A terrifying machine."",","""Didn't know Pinnacle produced such destructive units."",
""Seems safe."",","""I'm impressed."",
""Stay out of the way."",","""Flattening the competition."",
""It seems that thing is still lethal, even in old age."",","""Nothing seems able to withstand its advance..."",
""That solves ones problem."",","""Nothing could survive that... including us."",
""A persuasive argument, friend."",","""The automatons of this age are terrifying in their power."",
""So little remains in the wake of its fury... "",","""That machines is marvelous in its destructive energy."",
""A blunt but effective solution."",","""That's how it's done."",
""I like our friend here."",","""Watch out, everyone."",
""No arguing with that."",","""What a beautiful force of destruction."",
""Pure destruction."",","""I'm going to, uh, stand farther back."",
""Good for you."",","""Don't get carried away."",
""How were all the other Juggernauts lost, if they can do that?!"",","""Is this how Pinnacle carved out their roads?"",
""I see why these Juggernauts didn't bother with weaponry."",",,"""Show-off."",
""#self_second here. Just wanted to report that I'm officially impressed."","
,Mission_tosx_Zapper_On,,"""Yikes, that doesn't seem safe."",
""Um, power restored?"",","""Turn on the juice!"",
""A little tickle of electricity never hurt anyone, did it?"",","""Is that supposed to happen?"",
""What just happened?"",","""Start shooting lightning already."",
""Time for a shocking twist!"",","""Power's on, let's go."",
""Make do with what you got."",","""We've got lightning!"",
""Tower's online!"",","""Tower is energized!"",
""That closed the circuit."",","""Is this safe?"",
""It lit up!"",","""Powering up."",
""That storm tower is ready to go!"",","""Such beautiful lightning!"",
""How pretty!"",","""Channeling power."",
""That did it."",","""R.S.T. can't afford a few real cables?"",
""When is R.S.T. going to properly fix these conduits?"",","""Let the power flow."",
""Time to call on the lightning."",","""The circuit is complete."",
""Channel a little lightning, in order to create a lot more."",","""We're in luck: it works!"",
""A fine thing to potentially die doing."",","""Strange, to see the lightning harnessed so."",
""This land finds strange uses for the elements."",","""The tower lives again!"",
""The storm tower is online once more."",","""Tower's fully charged!"",
""Who's paying this electricity bill?"",","""Get that tower into action."",
""Tower's connected to the Grid."",","""Power restored."",
""We must make use of that storm tower while we can."",","""That's a neat trick."",
""No one brought a jumper cable?"",","""An excellent conductor."",
""Storm tower online."",","""Storm tower back in action."",
""We've got power!"",",,"""Start shooting lightning already."",
""Time for a shocking twist!"","
,Mission_tosx_Zapper_Destroyed,,"""We couldn't save the tower!"",
""That storm tower's gone silent!"","," ""Can't win 'em all. Just focus on the Vek."",
""Pretty sure the boss won't be happy about that."",","""The tower broke! Not my fault."",
""Was it supposed to break?"",","""Tower's destroyed."",
""Brace for storms..."",","""Tower is done for."",
""Blast it."",","""That tower just got taken out."",
""Storm tower just went up in flames."",","""We lost the storm tower."",
""That lightning rod is gone."",","""We failed in our duty."",
""I hope the storms don't hit this area soon..."",","""The storm tower has been lost."",
""I couldn't save the tower."",","""The tower is no more."",
""The lightning-catcher is gone."",","""No more tower."",
""#corp isn't going to be happy."",","""Lost a tower."",
""So much for R.S.T.'s storm deterrent."",","""The tower is gone."",
""These towers should have sturdier construction."",","""The tower was just destroyed!"",
""We just lost a storm tower!"",","""The tower is no more."",
""'Tis a bad hand we've been dealt."",","""The tower has fallen!"",
""We could not save the structure, or its occupants.""","""The tower has been destroyed."",
""Unfortunate."",
""The machine is lost."",","""We lost one of the towers!"",
""Don't stop to cry about it; we still have a mission."",","""That tower is gone."",
""R.S.T.'s storms are about to get worse..."",","""The tower  is done for."",
""Blasted war."",
""Does R.S.T. have a backup tower somewhere?"",","""There's nothing left of that storm tower."",
""Sorry, #ceo_second, but we couldn't save this tower."",","""I'm not reading any signs of  life in that rubble..."",
""#corp is going to have a hard time replacing that storm tower."",","""That tower is nothing but rubble now."",
 ""Without that tower, this region is going to have to some lightning problems."",",,"""Tower's destroyed."",
""Brace for storms..."","
,Mission_tosx_Warper_Destroyed,,"""The portal tender... it's gone!"",
""We lost the research craft!"",","""Pretty sure the boss won't be happy about that."",
""The portal ship is offline."",","""The plane broke!"",
""That plane can't move portals any more."",","""Aircraft is down."",
""We'll have to deal with the anomalies ourselves."",","""That aircraft is done for."",
""We lost the portal tender."",","""The portal tender went down; no survivors."",
""We lost our air support."",","""We lost the portal tender."",
""No such thing as safety when dealing with teleporters..."",","""We failed to guard the plane."",
""We couldn't save the plane."",","""The portal tender was destroyed."",
""I couldn't save the portal tender."",","""The sky-warper is no more."",
""Such a pretty thing, smashed to pieces."",","""No more portal tender."",
""#corp isn't going to be happy."",
""Be extra vigilant for anomalies; we lost our support."",","""Lost the portal tender."",
""Get ready for uncontrolled anomalies."",","""The portal craft did not survive."",
""Their sacrifice will not be forgotten.""","""The science craft was just destroyed!"",
""We just lost the portal tender!"",","""The portal tender is no more."",
""'Tis a bad hand we've been dealt."",","""We have failed in our duty."",
""We could not save the airship.""","""Our scientific escort has been destroyed."",
""Unfortunate."",","""We lost our escort; focus on the Vek."",
""We can't save the aircraft, but we can get some revenge for it."",","""The portal tender's gone."",
""We lost our plane!"",","""That craft is done for."",
""There's nothing left to save."",","""There's nothing left of the portal tender."",
""I think we're out of luck, as far as the anomalies go."",","""I'm not reading any signs of  life in that wreckage..."",
""Now #corp is going to have an even worse time with these anomalies."",","""We couldn't save them... The science team is gone."",
""The portal tender was destroyed!"",",,"""Aircraft is down."",
""We'll have to deal with the anomalies ourselves."","
